source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter for iPhone,725445969496694785,"RT @DonaldJTrumpJr: An Honor to be in #Indiana w @realDonaldTrump @greta &amp; the legend, Bobby Knight! I like our secret weapon better!!! htt…",Wed Apr 27 22:06:11 +0000 2016,4821,,0,True
Twitter for iPhone,725419855265026048,"THANK YOU Connecticut, Delaware, Maryland, Pennsylvania, and Rhode Island! #MakeAmericaGreatAgain https://t.co/MGKh77wQt8",Wed Apr 27 20:22:25 +0000 2016,4783,,15081,False
Twitter for iPhone,725396879723384832,Agreed! https://t.co/biyldP3CIw,Wed Apr 27 18:51:08 +0000 2016,9490,,19830,False
Twitter for iPhone,725392976525037570,Thank you Newt! https://t.co/FOh7qEnKUF,Wed Apr 27 18:35:37 +0000 2016,4829,,13793,False
Twitter for iPhone,725383459284353025,RT @AnnCoulter: GREATEST FOREIGN POLICY SPEECH SINCE WASHINGTON'S FAREWELL ADDRESS.,Wed Apr 27 17:57:48 +0000 2016,5162,,0,True
Twitter for iPhone,725380639269228544,Thanks Dave! https://t.co/NaPPQNjVi2,Wed Apr 27 17:46:35 +0000 2016,2493,,8922,False
Twitter for iPhone,725380064272105472,Thanks! https://t.co/5jiSyvQiNj,Wed Apr 27 17:44:18 +0000 2016,2428,,8644,False
Twitter for iPhone,725378591567941632,Thank you! WE will MAKE AMERICA GREAT AGAIN! https://t.co/aKxoD24IN9,Wed Apr 27 17:38:27 +0000 2016,3519,,10898,False
Twitter for iPhone,725377800954220545,Thank you! https://t.co/aYbOob1kiT,Wed Apr 27 17:35:19 +0000 2016,2209,,7818,False
Twitter for iPhone,725128021473132546,Thank you Delaware! #Trump2016 https://t.co/FeXThmUWuo,Wed Apr 27 01:02:47 +0000 2016,5246,,17038,False
Twitter for iPhone,725119398881665026,Thank you Rhode Island! #Trump2016 https://t.co/EzCvm7yc0Y,Wed Apr 27 00:28:31 +0000 2016,5706,,18271,False
Twitter for iPhone,725116992907259904,Thank you Connecticut! #Trump2016 https://t.co/3GGoVXSZSf,Wed Apr 27 00:18:57 +0000 2016,5939,,18240,False
Twitter for iPhone,725115824206450688,Thank you Pennsylvania! #Trump2016 https://t.co/mucxspuHnV,Wed Apr 27 00:14:19 +0000 2016,8158,,21478,False
Twitter for iPhone,725114320993017858,Thank you Maryland! #Trump2016 https://t.co/hH3h6bRMIs,Wed Apr 27 00:08:20 +0000 2016,6763,,18492,False
Twitter for iPhone,725050631250173952,Thank you America! #Trump2016 https://t.co/KL7VZbM1jP,Tue Apr 26 19:55:15 +0000 2016,7584,,20456,False
Twitter for iPhone,725024710086524929,"Lets #MakeAmericaGreatAgain, Maryland! #VoteTrump 
https://t.co/ZttNAmk1QS",Tue Apr 26 18:12:15 +0000 2016,2752,,8633,False
Twitter for iPhone,725024671293423616,"You have until 8pm to #VoteTrump, Delaware! https://t.co/GYeV6m1qOn",Tue Apr 26 18:12:06 +0000 2016,2352,,7386,False
Twitter for iPhone,725022988026925058,"Thank you for a great day yesterday, Rhode Island! #VoteTrump
https://t.co/nAlgNIIdyo",Tue Apr 26 18:05:25 +0000 2016,2403,,8010,False
Twitter for iPhone,725022546328969216,Six hours left to #VoteTrump Connecticut! https://t.co/U1kbLMwhNI,Tue Apr 26 18:03:39 +0000 2016,2300,,7190,False
Twitter for iPhone,725022169806327808,"Lets go Pennsylvania! #VoteTrump 
https://t.co/TWQM8AV9p4",Tue Apr 26 18:02:10 +0000 2016,2834,,8393,False
Twitter Web Client,725017409132855296,How bad is the New York Times—the most inaccurate coverage constantly. Always trying to belittle. Paper has lost its way!,Tue Apr 26 17:43:15 +0000 2016,2733,,9972,False
Twitter for iPhone,724996031033806849,"Thank you for the incredible support- Melania, Barron, Ivanka, Jared, Tiffany, Don, Vanessa, Eric, and Lara!
https://t.co/mPGpPFiDl8",Tue Apr 26 16:18:18 +0000 2016,4181,,12773,False
Twitter Web Client,724993336000532480,"Bernie Sanders has been treated terribly by the Democrats—both with delegates &amp; otherwise. He should show them, and run as an Independent!",Tue Apr 26 16:07:35 +0000 2016,11804,,30330,False
Twitter for iPhone,724954532522917888,"Thank you @DonaldJTrumpJr &amp; @EricTrump. #Trump2016 
https://t.co/CMfcrZjHgM",Tue Apr 26 13:33:24 +0000 2016,4200,,10282,False
Twitter for iPhone,724942956306771968,"MAKE AMERICA GREAT AGAIN!
https://t.co/xhwhJuV3aa https://t.co/2XWN52IpH2",Tue Apr 26 12:47:24 +0000 2016,4053,,10423,False
Twitter for Android,724911563405189121,"The Cruz-Kasich pact is under great strain. This joke of a deal is falling apart, not being honored and almost dead. Very dumb!",Tue Apr 26 10:42:39 +0000 2016,5293,,17015,False
Twitter for iPhone,724778089830580224,"Thank you Wilkes-Barre, Pennsylvania! 
#MakeAmericaGreatAgain #Trump2016 
https://t.co/FJbNlidwJF",Tue Apr 26 01:52:16 +0000 2016,4845,,12977,False
Twitter for iPhone,724772013219405824,"Get out and VOTE tomorrow! We will MAKE AMERICA GREAT AGAIN! 
#CTPrimary #DEPrimary #MDPrimary #PAPrimary #RIPrimary
https://t.co/ndi8sZI1Gt",Tue Apr 26 01:28:08 +0000 2016,4772,,11051,False
