subject_name,course_name,abs_course_url
Computer Science,"Practical Deep Learning For Coders, Part 1",https://www.classcentral.com/course/independent-practical-deep-learning-for-coders-part-1-7887
Computer Science,Fundamentos TIC para profesionales de negocios: Aplicaciones empresariales,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-aplicaciones-empresariales-7475
Computer Science,Biometric Technologies: Identification for the Future (January 2019),https://www.classcentral.com/course/canvas-network-biometric-technologies-identification-for-the-future-january-2019-4037
Computer Science,Algorithmic Toolbox,https://www.classcentral.com/course/coursera-algorithmic-toolbox-5471
Computer Science,Artificial Intelligence (AI),https://www.classcentral.com/course/edx-artificial-intelligence-ai-7230
Computer Science,Machine Learning,https://www.classcentral.com/course/edx-machine-learning-7231
Computer Science,Regression Modeling in Practice,https://www.classcentral.com/course/coursera-regression-modeling-in-practice-4351
Computer Science,Software Architecture for the Internet of Things,https://www.classcentral.com/course/coursera-software-architecture-for-the-internet-of-things-6507
Computer Science,"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Administrative/IT Perspective)",https://www.classcentral.com/course/coursera-hi-five-health-informatics-for-innovation-value-enrichment-administrative-it-perspective-8099
Computer Science,The Raspberry Pi Platform and Python Programming for the Raspberry Pi,https://www.classcentral.com/course/coursera-the-raspberry-pi-platform-and-python-programming-for-the-raspberry-pi-4334
Computer Science,Introduction to Recommender Systems:  Non-Personalized and Content-Based,https://www.classcentral.com/course/coursera-introduction-to-recommender-systems-non-personalized-and-content-based-6889
Computer Science,The Unix Workbench,https://www.classcentral.com/course/coursera-the-unix-workbench-8866
Computer Science,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",https://www.classcentral.com/course/coursera-improving-deep-neural-networks-hyperparameter-tuning-regularization-and-optimization-9054
Computer Science,Архитектура ЭВМ (Computer Architecture),https://www.classcentral.com/course/coursera---computer-architecture-9590
Computer Science,Bayesian Methods for Machine Learning,https://www.classcentral.com/course/coursera-bayesian-methods-for-machine-learning-9604
Computer Science,Introduction to Deep Learning,https://www.classcentral.com/course/coursera-introduction-to-deep-learning-9606
Computer Science,Deep Learning in Computer Vision,https://www.classcentral.com/course/coursera-deep-learning-in-computer-vision-9608
Computer Science,Introduction to Cybersecurity for Business,https://www.classcentral.com/course/coursera-introduction-to-cybersecurity-for-business-9421
Computer Science,Applying Machine Learning to your Data with GCP,https://www.classcentral.com/course/coursera-applying-machine-learning-to-your-data-with-gcp-9685
Computer Science,Classical Cryptosystems and Core Concepts,https://www.classcentral.com/course/coursera-classical-cryptosystems-and-core-concepts-9532
Computer Science,IoT Sensors and Devices,https://www.classcentral.com/course/edx-iot-sensors-and-devices-9751
Computer Science,The Bits and Bytes of Computer Networking,https://www.classcentral.com/course/coursera-the-bits-and-bytes-of-computer-networking-10222
Computer Science,Internet of Things Capstone V2: Build a Mobile Surveillance System,https://www.classcentral.com/course/coursera-internet-of-things-capstone-v2-build-a-mobile-surveillance-system-10380
Computer Science,Launching into Machine Learning,https://www.classcentral.com/course/coursera-launching-into-machine-learning-10621
Computer Science,Elastic Cloud Infrastructure: Scaling and Automation en Français,https://www.classcentral.com/course/coursera-elastic-cloud-infrastructure-scaling-and-automation-en-francais-12684
Computer Science,Security and Privacy in TOR Network,https://www.classcentral.com/course/coursera-security-and-privacy-in-tor-network-12878
Computer Science,Cryptocurrency and Blockchain: An Introduction to Digital Currencies,https://www.classcentral.com/course/coursera-cryptocurrency-and-blockchain-an-introduction-to-digital-currencies-13733
Computer Science,Machine Learning with Python,https://www.classcentral.com/course/coursera-machine-learning-with-python-11714
Computer Science,Enterprise Systems,https://www.classcentral.com/course/coursera-enterprise-systems-12165
Computer Science,Analysis for Business Systems,https://www.classcentral.com/course/coursera-analysis-for-business-systems-12173
Computer Science,Machine Learning for Business Professionals,https://www.classcentral.com/course/coursera-machine-learning-for-business-professionals-13415
Computer Science,Transacting on the Blockchain,https://www.classcentral.com/course/coursera-transacting-on-the-blockchain-13376
Computer Science,Client Needs and Software Requirements ,https://www.classcentral.com/course/coursera-client-needs-and-software-requirements-4302
Computer Science,Interfacing with the Arduino,https://www.classcentral.com/course/coursera-interfacing-with-the-arduino-4325
Computer Science,Cloud Networking,https://www.classcentral.com/course/coursera-cloud-networking-2732
Computer Science,La Web Semántica: Herramientas para la publicación y extracción efectiva de información en la Web,https://www.classcentral.com/course/coursera-la-web-semantica-herramientas-para-la-publicacion-y-extraccion-efectiva-de-informacion-en-la-web-4727
Computer Science,Прикладные задачи анализа данных,https://www.classcentral.com/course/coursera-----5540
Computer Science,Discrete Mathematics,https://www.classcentral.com/course/coursera-discrete-mathematics-8133
Computer Science,Fundamentals of Network Communication,https://www.classcentral.com/course/coursera-fundamentals-of-network-communication-9267
Computer Science,Home Networking Basics,https://www.classcentral.com/course/coursera-home-networking-basics-9161
Computer Science,Big Data Applications: Machine Learning at Scale,https://www.classcentral.com/course/coursera-big-data-applications-machine-learning-at-scale-9509
Computer Science,Design and Analyze Secure Networked Systems,https://www.classcentral.com/course/coursera-design-and-analyze-secure-networked-systems-9530
Computer Science,Basic Cryptography and Programming with Crypto API,https://www.classcentral.com/course/coursera-basic-cryptography-and-programming-with-crypto-api-9531
Computer Science,Enterprise and Infrastructure Security,https://www.classcentral.com/course/coursera-enterprise-and-infrastructure-security-9861
Computer Science,IT Infrastructure and Emerging Trends,https://www.classcentral.com/course/coursera-it-infrastructure-and-emerging-trends-12166
Computer Science,Networking in GCP: Hybrid Connectivity and Network Management,https://www.classcentral.com/course/coursera-networking-in-gcp-hybrid-connectivity-and-network-management-12155
Computer Science,Comportamiento adaptativo,https://www.classcentral.com/course/coursera-comportamiento-adaptativo-12449
Computer Science,Intel® Network Academy - Network Transformation 102,https://www.classcentral.com/course/coursera-intel-network-academy-network-transformation-102-13264
Computer Science,Visual Recognition & Understanding,https://www.classcentral.com/course/coursera-visual-recognition-understanding-13565
Computer Science,Convolutional Neural Networks in TensorFlow,https://www.classcentral.com/course/coursera-convolutional-neural-networks-in-tensorflow-13578
Computer Science,Google Cloud Platform Fundamentals: Core Infrastructure dalam bahasa Indonesia,https://www.classcentral.com/course/coursera-google-cloud-platform-fundamentals-core-infrastructure-dalam-bahasa-indonesia-14505
Computer Science, G Suite Security,https://www.classcentral.com/course/coursera-g-suite-security-14511
Computer Science, IT Security: Defense against the digital dark arts ,https://www.classcentral.com/course/coursera-it-security-defense-against-the-digital-dark-arts-10218
Computer Science,TECH MeD: Transdisciplinary Education for Critical Hacks of Medical Devices,https://www.classcentral.com/course/coursera-tech-med-transdisciplinary-education-for-critical-hacks-of-medical-devices-10361
Computer Science,Developing and Deploying Microservices with Microclimate,https://www.classcentral.com/course/coursera-developing-and-deploying-microservices-with-microclimate-11502
Computer Science,Art and Science of Machine Learning,https://www.classcentral.com/course/coursera-art-and-science-of-machine-learning-11073
Computer Science,End-to-End Machine Learning with TensorFlow on GCP,https://www.classcentral.com/course/coursera-end-to-end-machine-learning-with-tensorflow-on-gcp-11785
Computer Science,Launching into Machine Learning 日本語版,https://www.classcentral.com/course/coursera-launching-into-machine-learning--12016
Computer Science,How Entrepreneurs in Emerging Markets can master the Blockchain Technology,https://www.classcentral.com/course/coursera-how-entrepreneurs-in-emerging-markets-can-master-the-blockchain-technology-13078
Computer Science,Introduction to Supply Chain Finance & Blockchain Technology,https://www.classcentral.com/course/coursera-introduction-to-supply-chain-finance-blockchain-technology-13268
Computer Science,Строим роботов и другие устройства на Arduino. От светофора до 3D-принтера,https://www.classcentral.com/course/coursera-------arduino----3d--4467
Computer Science,Поиск структуры в данных,https://www.classcentral.com/course/coursera-----5517
